Date,Boeing,McDonalds,Nike,Walmart
43178,328.490112,157.026031,65.365959,86.400696
43179,334.302246,157.391434,66.450256,86.894691
43180,333.777496,156.68042,66.002617,87.121933
43181,316.459839,155.080612,64.082718,86.094414
43182,317.836151,153.046326,64.291611,84.39505
43185,325.7276,156.038513,65.55497,86.450096
43186,317.954987,155.515137,65.823555,85.017494
43187,316.865814,156.433533,65.097382,86.71685
43188,324.648346,154.428864,66.092148,87.902458
43192,319.261963,155.752151,63.78429,84.523499
43193,327.559387,158.398697,66.350777,85.758499
43194,324.212708,159.712112,68.061775,86.173454
43195,333.084351,161.904404,69.225647,86.756371
43196,322.90567,159.238083,67.196327,85.649818
43199,319.301605,159.218353,66.828262,85.244728
43200,331.529846,160.739136,66.649208,85.412689
43201,324.133453,161.302017,66.480103,84.879173
43202,334.153748,159.60347,67.415176,84.404938
43203,326.034546,159.712112,66.897903,84.987846
43206,328.499969,159.613358,66.708893,85.798004
43207,333.401215,160.521881,67.15654,86.845299
43208,337.639038,159.791107,65.853394,86.519257
43209,337.282593,157.539551,65.385864,86.835419
43210,335.332001,156.789032,65.743965,85.936333
43213,335.500336,157.006302,66.529839,85.066887
43214,325.816711,155.357132,66.61937,85.49173
43215,339.480713,153.994354,66.320938,86.124054
43216,339.411407,156.917419,67.693718,86.884819
43217,337.520233,156.324905,69.195808,86.242615
43220,330.272369,165.350876,68.031937,87.398575
43221,326.291992,161.400772,67.743454,86.361176
43222,320.99472,158.675201,67.902611,85.304008
43223,327.430664,158.082687,66.549736,85.195335
43224,331.133789,162.970932,67.743454,86.479736
43227,337.074646,162.941299,68.976952,84.44445
43228,335.034943,162.714172,68.101563,84.711212
43229,341.104553,162.190796,67.594231,82.063362
43230,342.378235,163.010437,67.564392,82.212502
43231,340.776154,163.326447,68.071724,82.898514
43234,342.895691,162.66481,68.479568,83.902687
43235,340.437836,161.025513,69.136116,84.031929
43236,339.293488,160.837875,70.966484,85.632637
43237,342.447906,159.297348,70.568588,84.002106
43238,349.503052,158.971466,70.946594,83.157013
43241,362.130646,159.465225,71.006271,84.021996
43242,353.274384,157.460556,70.936646,82.88858
43243,357.443787,159.60347,70.966484,82.530655
43244,357.234833,160.363876,71.802086,82.371574
43245,358.319458,161.17366,71.871719,81.983826
43249,350.746887,158.615952,70.548683,81.924179
43250,356.428802,159.800995,71.85183,83.634247
43251,350.428467,158.01355,71.42408,82.06337
43252,354.966034,158.172577,72.58123,82.510765
43255,358.956329,159.225998,73.648598,84.926735
43256,358.329437,158.490585,73.868057,84.131363
43257,369.733063,161.372604,74.566338,84.071701
43258,366.717957,168.428543,74.576317,84.45945
43259,367.683197,167.862091,74.715973,83.872856
43262,369.116119,165.457108,74.406731,83.81321
43263,368.797699,165.695618,74.107468,83.614357
43264,362.061005,165.546555,73.92791,83.604416
43265,360.638031,166.013626,74.516457,83.306152
43266,356.120331,165.427292,75.653656,83.216667
43269,352.995758,165.248413,75.424225,82.520714
43270,339.442749,163.946533,74.077545,83.12719
43271,341.005035,161.551483,74.536415,83.12719
